tahun_pelaporan,semester,tahun,nama_program_studi,jenjang,status_prodi,akreditasi_prodi,nama_universitas,jumlah_mahasiswa,jumlah_dosen_penghitung_rasio,dosen_tetap,dosen_tidak_tetap,total_dosen,rasio_dosen_mahasiswa,nilai_rasio,kota,provinsi,kode_pt,fakultas,rumpun_ilmu
Ganjil 2023,Ganjil,2023,Agribisnis,S1,Aktif,Baik Sekali,Universitas Siliwangi,667,52,18,0,18,1:12.83,12.83,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2023,Ganjil,2023,Agribisnis,S2,Aktif,Baik Sekali,Universitas Siliwangi,22,10,5,0,5,1:2.2,2.2,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2023,Ganjil,2023,Agroteknologi,S1,Aktif,Baik Sekali,Universitas Siliwangi,568,43,15,0,15,1:13.21,13.21,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2023,Ganjil,2023,Agroteknologi,S2,Aktif,Baik,Universitas Siliwangi,36,9,5,0,5,1:4,4.0,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2023,Ganjil,2023,Akuntansi,S1,Aktif,Baik Sekali,Universitas Siliwangi,1176,35,18,1,19,1:33.6,33.6,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2023,Ganjil,2023,Ekonomi Pembangunan,S1,Aktif,Baik Sekali,Universitas Siliwangi,1113,34,15,1,16,1:32.74,32.74,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2023,Ganjil,2023,Ekonomi Syari'ah,S1,Aktif,B,Universitas Siliwangi,653,21,11,0,11,1:31.1,31.1,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2023,Ganjil,2023,Gizi,S1,Aktif,Baik Sekali,Universitas Siliwangi,452,20,14,0,14,1:22.6,22.6,Kota Tasikmalaya,Prov. Jawa Barat,002008,FIK,Sains
Ganjil 2023,Ganjil,2023,Ilmu Manajemen,S3,Aktif,Baik,Universitas Siliwangi,0,0,5,0,5,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2023,Ganjil,2023,Ilmu Pertanian,S3,Aktif,Terakreditasi Sementara,Universitas Siliwangi,0,0,5,0,5,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2023,Ganjil,2023,Ilmu Politik,S1,Aktif,B,Universitas Siliwangi,731,19,18,0,18,1:38.47,38.47,Kota Tasikmalaya,Prov. Jawa Barat,002008,FISIP,Sosial
Ganjil 2023,Ganjil,2023,Informatika,S1,Aktif,Baik Sekali,Universitas Siliwangi,746,26,18,2,20,1:28.69,28.69,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Ganjil 2023,Ganjil,2023,Kesehatan Masyarakat,S1,Aktif,Baik Sekali,Universitas Siliwangi,752,18,13,0,13,1:41.78,41.78,Kota Tasikmalaya,Prov. Jawa Barat,002008,FIK,Sains
Ganjil 2023,Ganjil,2023,Manajemen,S1,Aktif,Baik Sekali,Universitas Siliwangi,1564,35,22,0,22,1:44.69,44.69,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
