id_universitas,id_prodi,id_waktu,jumlah_dosen_penghitung_rasio,dosen_tetap,dosen_tidak_tetap,total_dosen,jumlah_mahasiswa,rasio_dosen_mahasiswa,nilai_rasio
002008,54201,3,62,22,0,22,750,1:12.1,12.1
002008,54101,3,11,5,0,5,38,1:3.45,3.45
002008,54211,3,44,20,0,20,593,1:13.48,13.48
002008,54111,3,11,3,2,5,13,1:1.18,1.18
002008,62201,3,31,28,1,29,1380,1:44.52,44.52
002008,60201,3,35,26,1,27,1312,1:37.49,37.49
002008,60202,3,21,15,0,15,771,1:36.71,36.71
002008,13211,3,19,15,0,15,567,1:29.84,29.84
002008,61001,3,8,5,0,5,17,1:2.13,2.13
002008,54001,3,9,5,1,6,3,1:0.33,0.33
002008,67201,3,21,26,0,26,846,1:40.29,40.29
002008,55201,3,28,22,2,24,917,1:32.75,32.75
002008,13201,3,21,21,0,21,762,1:36.29,36.29
002008,61201,3,37,31,1,32,1692,1:45.73,45.73
002008,61101,3,12,5,1,6,162,1:13.5,13.5
002008,80206,3,10,8,0,8,110,1:11,11.0
002008,86009,3,14,4,1,5,12,1:0.86,0.86
002008,88201,3,21,15,2,17,760,1:36.19,36.19
002008,88203,3,28,26,0,26,806,1:28.79,28.79
002008,84205,3,24,8,0,8,632,1:26.33,26.33
002008,87203,3,15,16,0,16,601,1:40.07,40.07
002008,84203,3,15,12,0,12,409,1:27.27,27.27
002008,87102,3,7,4,0,4,31,1:4.43,4.43
002008,87202,3,15,10,0,10,576,1:38.4,38.4
002008,84101,3,14,5,0,5,45,1:3.21,3.21
002008,85103,3,7,5,0,5,39,1:5.57,5.57
002008,85201,3,37,29,0,29,1384,1:37.41,37.41
002008,95102,3,0,0,0,0,0,-,
002008,86205,3,12,11,1,12,561,1:46.75,46.75
002008,84102,3,9,5,0,5,40,1:4.44,4.44
002008,84202,3,30,19,0,19,676,1:22.53,22.53
002008,86904,3,0,13,0,13,3469,-,
002008,87201,3,13,11,0,11,671,1:51.62,51.62
002008,61406,3,23,12,2,14,573,1:24.91,24.91
002008,61318,3,12,5,0,5,72,1:6,6.0
002008,49202,3,0,4,1,5,0,-,
002008,57201,3,21,8,0,8,352,1:16.76,16.76
002008,20201,3,19,16,2,18,429,1:22.58,22.58
002008,22201,3,21,26,1,27,571,1:27.19,27.19
002008,41223,3,30,9,0,9,147,1:4.9,4.9
002008,54201,5,34,24,0,24,684,1:20.12,20.12
002008,54101,5,9,5,0,5,44,1:4.89,4.89
002008,54211,5,44,18,0,18,554,1:12.59,12.59
002008,54111,5,6,5,2,7,23,1:3.83,3.83
002008,62201,5,29,25,1,26,1258,1:43.38,43.38
002008,60201,5,25,21,1,22,1227,1:49.08,49.08
002008,60202,5,19,13,0,13,695,1:36.58,36.58
002008,13211,5,15,15,0,15,501,1:33.4,33.4
002008,61001,5,10,5,0,5,6,1:0.6,0.6
002008,54001,5,4,5,0,5,3,1:0.75,0.75
002008,67201,5,16,22,0,22,797,1:49.81,49.81
002008,55201,5,26,22,2,24,815,1:31.35,31.35
002008,13201,5,21,19,0,19,665,1:31.67,31.67
002008,61201,5,37,30,0,30,1629,1:44.03,44.03
002008,61101,5,11,6,1,7,184,1:16.73,16.73
002008,80206,5,8,7,0,7,45,1:5.63,5.63
002008,86009,5,11,5,0,5,6,1:0.55,0.55
002008,88201,5,21,15,2,17,702,1:33.43,33.43
002008,88203,5,22,23,0,23,758,1:34.45,34.45
002008,84205,5,17,10,0,10,620,1:36.47,36.47
002008,87203,5,15,16,0,16,584,1:38.93,38.93
002008,84203,5,17,10,0,10,427,1:25.12,25.12
002008,87102,5,7,4,0,4,35,1:5,5.0
002008,87202,5,14,12,0,12,545,1:38.93,38.93
002008,84101,5,12,6,0,6,39,1:3.25,3.25
002008,85103,5,5,5,0,5,17,1:3.4,3.4
002008,85201,5,35,27,0,27,1286,1:36.74,36.74
002008,95102,5,0,0,0,0,0,-,
002008,86205,5,11,11,1,12,559,1:50.82,50.82
002008,84102,5,8,5,0,5,51,1:6.38,6.38
002008,84202,5,30,17,0,17,670,1:22.33,22.33
002008,86904,5,101,12,0,12,296,1:2.93,2.93
002008,87201,5,21,11,0,11,648,1:30.86,30.86
002008,61406,5,21,12,3,15,582,1:27.71,27.71
002008,61318,5,0,5,0,5,0,-,
002008,49202,5,0,0,0,0,0,-,
002008,57201,5,16,13,1,14,249,1:15.56,15.56
002008,20201,5,20,16,2,18,416,1:20.8,20.8
002008,22201,5,22,23,1,24,524,1:23.82,23.82
002008,41223,5,27,7,0,7,88,1:3.26,3.26
002008,54201,2,49,25,0,25,719,1:14.67,14.67
002008,54101,2,11,5,0,5,46,1:4.18,4.18
002008,54211,2,37,18,0,18,587,1:15.86,15.86
