,nama_program_studi,jenjang,akreditasi,total_dosen,jumlah_mahasiswa,nilai_rasio,rasio_fmt,status_dikti
1,Pendidikan Sejarah,S1,Unggul,11.0,671.0,51.62,1:51.62,MELEBIHI BATAS
2,Pendidikan Masyarakat,S1,Unggul,12.0,561.0,46.75,1:46.75,MELEBIHI BATAS
3,Akuntansi,S1,Baik Sekali,29.0,1380.0,44.52,1:44.52,Normal
4,Ilmu Politik,S1,B,26.0,846.0,40.29,1:40.29,Normal
5,Pendidikan Ekonomi,S1,Unggul,16.0,601.0,40.07,1:40.07,Normal
6,Ekonomi Pembangunan,S1,Baik Sekali,27.0,1312.0,37.49,1:37.49,Normal
7,Ekonomi Syari'ah,S1,B,15.0,771.0,36.71,1:36.71,Normal
8,Kesehatan Masyarakat,S1,Baik Sekali,21.0,762.0,36.29,1:36.29,Normal
9,Pendidikan Bahasa Indonesia,S1,Unggul,17.0,760.0,36.19,1:36.19,Normal
10,Informatika,S1,Baik Sekali,24.0,917.0,32.75,1:32.75,Normal
11,Gizi,S1,Baik Sekali,15.0,567.0,29.84,1:29.84,Normal
12,Manajemen,S2,Baik Sekali,19.0,927.0,29.615,1:29.61,Normal
13,Pendidikan Bahasa Inggris,S1,Unggul,26.0,806.0,28.79,1:28.79,Normal
14,Pendidikan Fisika,S1,Unggul,12.0,409.0,27.27,1:27.27,Normal
15,Teknik Sipil,S1,Baik,27.0,571.0,27.19,1:27.19,Normal
16,Pendidikan Biologi,S1,Unggul,8.0,632.0,26.33,1:26.33,Normal
17,Perbankan dan Keuangan,D3,B,14.0,573.0,24.91,1:24.91,Normal
18,Teknik Elektro,S1,Baik Sekali,18.0,429.0,22.58,1:22.58,Normal
19,Pendidikan Jasmani,S1,Unggul,17.0,711.5,21.49,1:21.49,Normal
20,Pendidikan Geografi,S1,Unggul,7.0,303.5,21.415,1:21.41,Normal
21,Sistem Informasi,S1,Baik Sekali,8.0,352.0,16.76,1:16.76,Normal
22,Pendidikan Matematika,S1,Unggul,12.0,358.0,13.485000000000001,1:13.49,Normal
23,Manajemen Mutu Halal,S1,Terakreditasi Sementara,8.0,110.0,11.0,1:11.00,Normal
24,Agribisnis,S2,Baik Sekali,13.5,394.0,7.775,1:7.78,Normal
25,Agroteknologi,S2,Baik,12.5,303.0,7.33,1:7.33,Normal
26,Perbankan dan Keuangan Digital,D4,Baik,5.0,72.0,6.0,1:6.00,Normal
27,Teknologi Pangan dan Hasil Pertanian,S1,-,9.0,147.0,4.9,1:4.90,Normal
28,Pendidikan Ilmu Pengetahuan Alam,S2,Baik,5.0,45.0,3.21,1:3.21,Normal
29,Ilmu Manajemen,S3,Baik,5.0,17.0,2.13,1:2.13,Normal
30,Pendidikan,S3,Baik,5.0,12.0,0.86,1:0.86,Normal
31,Ilmu Pertanian,S3,Terakreditasi Sementara,6.0,3.0,0.33,1:0.33,Normal
32,Pendidikan Kependudukan & Lingkungan Hidup,S2,-,0.0,0.0,,1:nan,Normal
33,Pendidikan Profesi Guru,Profesi,Baik Sekali,13.0,3469.0,,1:nan,Normal
34,Sains Data,S1,-,5.0,0.0,,1:nan,Normal
