nama_universitas,kode_pt,status_pt_univ,akreditasi_pt_univ,tahun_pelaporan,kode_prodi,nama_program_studi,status_prodi,jenjang,akreditasi_prodi,jumlah_dosen_penghitung_rasio,dosen_tetap,dosen_tidak_tetap,total_dosen,jumlah_mahasiswa,rasio_dosen_mahasiswa
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90345,Animasi,Aktif,D4,Baik,17,8,0,8,134,1:7.88
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,82201,Antropologi Budaya,Aktif,S1,Baik,23,12,1,13,160,1:6.96
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90241,Desain Komunikasi Visual,Aktif,S1,Baik Sekali,35,20,0,20,811,1:23.17
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90331,Desain Mode,Aktif,D4,Baik,30,9,1,10,375,1:12.5
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90231,Desain Produk,Aktif,S1,Baik,19,7,0,7,110,1:5.79
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91271,Fotografi,Aktif,S1,B,19,11,0,11,348,1:18.32
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,94202,Kewirausahaan,Aktif,S1,Baik,7,7,0,7,47,1:6.71
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90211,Kriya Seni,Aktif,S1,B,19,15,0,15,88,1:4.63
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91321,Musik Film,Aktif,D4,Baik,22,11,0,11,39,1:1.77
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,93202,Pariwisata,Aktif,S1,Baik,17,12,1,13,339,1:19.94
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91101,Penciptaan dan Pengkajian Seni,Aktif,S2,B,27,6,0,6,97,1:3.59
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91103,Penciptaan Seni,Aktif,S2 Terapan,Baik,14,5,0,5,13,1:0.93
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90213,Pendidikan Kriya,Aktif,S1,Baik,19,10,1,11,118,1:6.21
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,88110,Pendidikan Seni,Aktif,S2,Baik,8,5,0,5,25,1:3.13
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,83315,Pendidikan Vokasional Tata Rias,Aktif,S1,Baik,25,10,0,10,188,1:7.52
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90347,Produksi Media,Aktif,D4,Baik,22,7,0,7,44,1:2
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91002,Seni,Aktif,S3,Terakreditasi Sementara,7,5,0,5,15,1:2.14
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91211,Seni Karawitan,Aktif,S1,B,31,24,0,24,168,1:5.42
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90201,Seni Murni,Aktif,S1,Baik,16,12,0,12,94,1:5.88
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91221,Seni Musik,Aktif,S1,B,39,26,0,26,278,1:7.13
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91231,Seni Tari,Aktif,S1,A,38,12,0,12,382,1:10.05
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91251,Seni Teater,Aktif,S1,B,22,13,0,13,52,1:2.36
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,85315,Studi Humanitas,Aktif,S1,Baik,19,7,1,8,23,1:1.21
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,95315,Studi Humanitas,Aktif,S2,Baik,13,5,0,5,8,1:0.62
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91332,Tari Melayu,Aktif,D4,-,12,7,0,7,8,1:0.67
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91331,Tari Minang,Aktif,D4,Baik,25,6,0,6,16,1:0.64
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91261,Televisi dan Film,Aktif,S1,Baik,26,16,0,16,606,1:23.31
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90345,Animasi,Aktif,D4,Baik,0,5,0,5,35,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90446,Animasi,Tutup,D3,-,0,0,0,0,0,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,23201,Arsitektur,Aktif,S1,Terakreditasi Sementara,0,5,0,5,24,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90212,Batik,Alih Bentuk,D4,-,0,0,0,0,0,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,64211,Bisnis Musik,Aktif,S1,-,0,3,0,3,0,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90221,Desain Interior,Aktif,S1,B,4,14,2,16,166,1:41.5
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90241,Desain Komunikasi Visual,Aktif,S1,Baik Sekali,0,17,0,17,222,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90212,Desain Mode Batik,Aktif,D4,Baik Sekali,1,12,0,12,115,1:115
