nama_universitas,kota,provinsi,kode_pt,status_pt,akreditasi_institusi,tanggal_berdiri,no_sk_pendirian,tanggal_sk_pendirian,telepon_1,telepon_2,email,website,alamat_lengkap
Institut Seni Indonesia Padang Panjang,Kota Padang Panjang,Prov. Sumatera Barat,-,Jenjang,"1
dari
6",-,"Kontak
0752-82077
0752-83038
isi@isi-padangpanjang.ac.id
www.isi-padangpanjang.ac.id","Kontak
0752-82077
0752-83038
isi@isi-padangpanjang.ac.id
www.isi-padangpanjang.ac.id",-,-,-,,"Jln. Bundo Kanduang No 35 Padangpanjang Sumatera Barat, Kota Padang Panjang, Prov. Sumatera Barat"
Institut Seni Indonesia Surakarta,Kota Surakarta,Prov. Jawa Tengah,-,Jenjang,"1
dari
7",-,"Kontak
0271-647658
0271-646175
direct@isi-ska.ac.id
www.isi-ska.ac.id","Kontak
0271-647658
0271-646175
direct@isi-ska.ac.id
www.isi-ska.ac.id",-,-,-,,"Jl Ki Hajar Dewantara No 19 Kentingan, Jebres, Kota Surakarta, Prov. Jawa Tengah"
Politeknik Elektronika Negeri Surabaya,Kota Surabaya,Prov. Jawa Timur,-,Jenjang,"1
dari
9",-,"Kontak
031-5947280
031-5946114
pens@pens.ac.id
www.pens.ac.id","Kontak
031-5947280
031-5946114
pens@pens.ac.id
www.pens.ac.id",-,-,-,,"Jl. Raya ITS - Kampus PENS, Sukolilo, Surabaya , Kec. Sukolilo, Kota Surabaya, Prov. Jawa Timur"
Politeknik Manufaktur Bandung,Kota Bandung,Prov. Jawa Barat,-,Jenjang,"1
dari
6",-,"Kontak
0222500241
0222502649
sekretariat@polman-bandung.ac.id
www.polman-bandung.ac.id","Kontak
0222500241
0222502649
sekretariat@polman-bandung.ac.id
www.polman-bandung.ac.id",-,-,-,,"Jalan Kanayakan 21 Dago , Kota Bandung, Prov. Jawa Barat"
Politeknik Negeri Bali,Kab. Badung,Prov. Bali,-,Jenjang,"1
dari
9",-,"Kontak
0361-701981
0361-701128
poltek@pnb.ac.id
www.pnb.ac.id","Kontak
0361-701981
0361-701128
poltek@pnb.ac.id
www.pnb.ac.id",-,-,-,,"Kampus Politeknik Negeri Bali Bukit Jimbaran Kuta Selatan Badung-Bali, Kab. Badung, Prov. Bali"
Politeknik Negeri Bandung,Kota Bandung,Prov. Jawa Barat,-,Jenjang,"1
dari
10",-,"Kontak
2013789
2013889
polban@polban.ac.id
www.polban.ac.id","Kontak
2013789
2013889
polban@polban.ac.id
www.polban.ac.id",-,-,-,,"Jln.Gegerkalong Hilir Desa Ciwaruga, Kota Bandung, Prov. Jawa Barat"
Politeknik Negeri Batam,Kota Batam,Prov. Kepulauan Riau,-,Jenjang,"1
dari
6",-,"Kontak
0778 - 469858
0778 - 463620
info@polibatam.ac.id
www.polibatam.ac.id","Kontak
0778 - 469858
0778 - 463620
info@polibatam.ac.id
www.polibatam.ac.id",-,-,-,,"Kampus Politeknik Negeri Batam Parkway Street, Batam Center, Kec. Batam Kota, Kota Batam, Prov. Kepulauan Riau"
Politeknik Negeri Jakarta,Kota Depok,Prov. Jawa Barat,-,Jenjang,"1
dari
11",-,"Kontak
021-7270036
021-7270034
humas@pnj.ac.id
www.pnj.ac.id","Kontak
021-7270036
021-7270034
humas@pnj.ac.id
www.pnj.ac.id",-,-,-,,"Kampus Baru Universitas Indonesia, Kota Depok, Prov. Jawa Barat"
Politeknik Negeri Jember,Kab. Jember,Prov. Jawa Timur,-,Jenjang,"1
dari
13",-,"Kontak
(0331)333532,333533
(0331)333531
politeknik@polije.ac.id
www.polije.ac.id","Kontak
(0331)333532,333533
(0331)333531
politeknik@polije.ac.id
www.polije.ac.id",-,-,-,,"Jalan Mastrip, Sumbersari , Kab. Jember, Prov. Jawa Timur"
Politeknik Negeri Lampung,Kota Bandar Lampung,Prov. Lampung,-,Jenjang,"1
dari
14",-,"Kontak
0721-703995
0721-703787
setdir@polinela.ac.id
www.polinela.ac.id","Kontak
0721-703995
0721-703787
setdir@polinela.ac.id
www.polinela.ac.id",-,-,-,,"Jalan Soekarno Hatta No 10 Rajabasa Bandar Lampung, Kota Bandar Lampung, Prov. Lampung"
